module,shape
conv_in.weight,"[320, 4, 3, 3]"
conv_in.bias,[320]
time_embedding.linear_1.weight,"[1280, 320]"
time_embedding.linear_1.bias,[1280]
time_embedding.linear_2.weight,"[1280, 1280]"
time_embedding.linear_2.bias,[1280]
add_embedding.linear_1.weight,"[1280, 2816]"
add_embedding.linear_1.bias,[1280]
add_embedding.linear_2.weight,"[1280, 1280]"
add_embedding.linear_2.bias,[1280]
down_blocks.0.resnets.0.norm1.weight,[320]
down_blocks.0.resnets.0.norm1.bias,[320]
down_blocks.0.resnets.0.conv1.weight,"[320, 320, 3, 3]"
down_blocks.0.resnets.0.conv1.bias,[320]
down_blocks.0.resnets.0.time_emb_proj.weight,"[320, 1280]"
down_blocks.0.resnets.0.time_emb_proj.bias,[320]
down_blocks.0.resnets.0.norm2.weight,[320]
down_blocks.0.resnets.0.norm2.bias,[320]
down_blocks.0.resnets.0.conv2.weight,"[320, 320, 3, 3]"
down_blocks.0.resnets.0.conv2.bias,[320]
down_blocks.0.resnets.1.norm1.weight,[320]
down_blocks.0.resnets.1.norm1.bias,[320]
down_blocks.0.resnets.1.conv1.weight,"[320, 320, 3, 3]"
down_blocks.0.resnets.1.conv1.bias,[320]
down_blocks.0.resnets.1.time_emb_proj.weight,"[320, 1280]"
down_blocks.0.resnets.1.time_emb_proj.bias,[320]
down_blocks.0.resnets.1.norm2.weight,[320]
down_blocks.0.resnets.1.norm2.bias,[320]
down_blocks.0.resnets.1.conv2.weight,"[320, 320, 3, 3]"
down_blocks.0.resnets.1.conv2.bias,[320]
down_blocks.0.downsamplers.0.conv.weight,"[320, 320, 3, 3]"
down_blocks.0.downsamplers.0.conv.bias,[320]
down_blocks.1.attentions.0.norm.weight,[640]
down_blocks.1.attentions.0.norm.bias,[640]
down_blocks.1.attentions.0.proj_in.weight,"[640, 640]"
down_blocks.1.attentions.0.proj_in.bias,[640]
down_blocks.1.attentions.0.transformer_blocks.0.norm1.weight,[640]
